medium_description_en,url,full_title_en,expert_name,short_title_en,short_description_en,disease_en,system_en,search_abbreviation_en,purpose_en,chief_complaint_en,specialty_en,favorite_id,creators,cmeEnabled,cmeVersion
Official Rome IV criteria for the diagnosis of infant dyschezia.,rome-iv-diagnostic-criteria-infant-dyschezia,Rome IV Diagnostic Criteria for Infant Dyschezia,"Beate Beinvogl, MD, MPH",Rome IV for Infant Dyschezia,Infant dyschezia diagnosis.,"['Neonate/Toddler Functional GI Disorders', 'Disorders of Gut-Brain Interaction (DGBI)']",Gastrointestinal,"Rome IV Criteria for Infant Dyschezia, Rome IV for Infant Dyschezia, rome iv dyschezia, rome iv infant dyschezia, dyschezia, infant dyschezia, rome dyschezia, rome infant dyschezia, rome 4 for infant dyschezia, rome 4 infant dyschezia, rome 4 dyschezia, infant dyschezia rome, dyschezia rome",Diagnosis,Constipation,"['Family Practice', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care']",10314,"['Dr. Douglas Drossman', 'Dr. Lin Chang', 'The Rome Foundation']",True,
Official Rome IV criteria for the diagnosis of infant functional constipation.,rome-iv-diagnostic-criteria-infant-functional-constipation,Rome IV Diagnostic Criteria for Infant Functional Constipation,"Beate Beinvogl, MD, MPH",Rome IV for Infant Constipation,Infant constipation diagnosis.,"['Neonate/Toddler Functional GI Disorders', 'Disorders of Gut-Brain Interaction (DGBI)']",Gastrointestinal,"Rome IV Criteria for Infant Functional Constipation, Rome IV for Infant Constipation, rome iv infant functional constipation, rome iv infant constipation, rome iv functional constipation, rome iv for infant constipation, rome infant constipation, rome functional constipation, rome infant functional constipation, rome 4 infant constipation, rome 4 constipation, rome 4 infant functional constipation, rome 4 functional constipation",Diagnosis,Constipation,"['Family Practice', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care']",10311,"['Dr. Douglas Drossman', 'Dr. Lin Chang', 'The Rome Foundation']",True,
Official Rome IV criteria for the diagnosis of infant functional diarrhea.,rome-iv-diagnostic-criteria-infant-functional-diarrhea,Rome IV Diagnostic Criteria for Infant Functional Diarrhea,"Beate Beinvogl, MD, MPH",Rome IV for Infant Diarrhea,Infant diarrhea diagnosis.,"['Neonate/Toddler Functional GI Disorders', 'Disorders of Gut-Brain Interaction (DGBI)']",Gastrointestinal,"Rome IV Criteria for Infant Functional Diarrhea, Rome IV for Infant Diarrhea, rome iv diarrhea, rome iv for functional diarrhea, rome iv infant diarrhea, rome iv infant functional diarrhea, rome 4, rome 4 diarrhea, rome 4 infant diarrhea, rome 4 infant functional diarrhea, rome 4 for infant functional diarrhea",Diagnosis,Diarrhea,"['Family Practice', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care']",10315,"['Dr. Douglas Drossman', 'Dr. Lin Chang', 'The Rome Foundation']",True,
Official Rome IV criteria for the diagnosis of infant regurgitation.,rome-iv-diagnostic-criteria-infant-regurgitation,Rome IV Diagnostic Criteria for Infant Regurgitation,"Beate Beinvogl, MD, MPH",Rome IV for Infant Regurgitation,Infant regurgitation diagnosis.,"['Neonate/Toddler Functional GI Disorders', 'Disorders of Gut-Brain Interaction (DGBI)']",Gastrointestinal,"Rome IV Criteria for Infant Regurgitation, Rome IV for Infant Regurgitation, infant regurgitation, regurgitation, rome 4 regurgitation, rome iv regurgitation, rome infant regurgitation, rome 4 infant regurgitation, rome regurgitation",Diagnosis,Regurgitation,"['Family Practice', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care']",10309,"['Dr. Douglas Drossman', 'Dr. Lin Chang', 'The Rome Foundation']",True,
Official Rome IV criteria for the diagnosis of irritable bowel syndrome.,rome-iv-diagnostic-criteria-irritable-bowel-syndrome-ibs,Rome IV Diagnostic Criteria for Irritable Bowel Syndrome (IBS),"Colleen Parker, MD",Rome IV for IBS,Diagnoses IBS.,"['Anxiety', 'Irritable Bowel Syndrome', 'Disorders of Gut-Brain Interaction (DGBI)']",Gastrointestinal,"['rome', 'ibs', 'irritable bowel', 'Rome IV Diagnostic Criteria for Irritable Bowel Syndrome (IBS)', 'rome ibs', 'rome iv ibs', 'rome iv for ibs', 'irritable bowel syndrome']",Diagnosis,"['Abdominal Pain', 'Anxious', 'Constipation', 'Diarrhea']","['Family Practice', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Psychiatry']",4007,"['Dr. Douglas Drossman', 'Dr. Lin Chang', 'The Rome Foundation']",True,4007.1
Official Rome IV criteria for the diagnosis of narcotic bowel syndrome.,rome-iv-diagnostic-criteria-narcotic-bowel-syndrome-,Rome IV Diagnostic Criteria for Narcotic Bowel Syndrome ,"Colleen Parker, MD",Rome IV for Narcotic Bowel Syndrome,Narcotic bowel syndrome diagnosis.,Disorders of Gut-Brain Interaction (DGBI),Gastrointestinal,"Rome IV Criteria for Narcotic Bowel Syndrome, Rome IV for Narcotic Bowel Syndrome, rome iv narcotic bowel syndrome, rome narcotic bowel syndrome, rome iv for opiate-induced gastrointestinal hyperalgesia, rome for opiate-induced gastrointestinal hyperalgesia, opiate-induced gastrointestinal hyperalgesia, gi hyperalgesia, rome iv hyperalgesia, rome iv gi hyperalgesia",Diagnosis,Abdominal Pain,"['Family Practice', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care']",10313,"['Dr. Douglas Drossman', 'Dr. Lin Chang', 'The Rome Foundation']",True,
Official Rome IV criteria for the diagnosis of opioid-induced constipation.,rome-iv-diagnostic-criteria-opioid-induced-constipation,Rome IV Diagnostic Criteria for Opioid-Induced Constipation,"Colleen Parker, MD",Rome IV for Opioid-Induced Constipation,Opioid-induced constipation diagnosis.,Disorders of Gut-Brain Interaction (DGBI),Gastrointestinal,"Opioid-induced constipation, oic, Rome IV Criteria, Rome IV for Opioid-induced Constipation, Rome IV Criteria for Opioid-induced Constipation, rome 4, opioid",Diagnosis,Constipation,"['Family Practice', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care']",10274,"['Dr. Douglas Drossman', 'Dr. Lin Chang', 'The Rome Foundation']",True,
Official Rome IV criteria for the diagnosis of proctalgia fugax.,rome-iv-diagnostic-criteria-proctalgia-fugax,Rome IV Diagnostic Criteria for Proctalgia Fugax,"Justin Brandler, MD",Rome IV for Proctalgia Fugax,Proctalgia fugax diagnosis.,"['Functional Anorectal Disorders', 'Disorders of Gut-Brain Interaction (DGBI)']",Gastrointestinal,"Rome IV Criteria for Proctalgia Fugax, Rome IV for Proctalgia Fugax, rome iv proctalgia fugax, proctalgia fugax, rome proctalgia fugax, proctalgia fugax rome, proctalgia fugax rome iv, rome 4 for proctalgia fugax, rome 4 proctalgia fugax",Diagnosis,Anorectal Pain,"['Family Practice', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care']",10323,"['Dr. Douglas Drossman', 'Dr. Lin Chang', 'The Rome Foundation']",True,
Official Rome IV criteria for the diagnosis of reflux hypersensitivity.,rome-iv-diagnostic-criteria-reflux-hypersensitivity,Rome IV Diagnostic Criteria for Reflux Hypersensitivity,"David Cangemi, MD",Rome IV for Reflux Hypersensitivity,Reflux hypersensitivity diagnosis.,"['Esophageal Disorders', 'Disorders of Gut-Brain Interaction (DGBI)']",Gastrointestinal,"Rome IV Criteria for Reflux Hypersensitivity, Rome IV for Reflux Hypersensitivity, rome iv reflux, rome iv reflux hypersensitivity, reflux hypersensitivity, rome iv for reflux, rome iv criteria, reflux hypersensitivity diagnosis, rome 4 reflux hypersensitivity, rome 4 reflux, rome 4 criteria, reflux hypersensitivity diagnosis, rome reflux",Diagnosis,Chest Pain,"['Family Practice', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care']",10277,"['Dr. Douglas Drossman', 'Dr. Lin Chang', 'The Rome Foundation']",True,
Official Rome IV criteria for the diagnosis of rumination syndrome.,rome-iv-diagnostic-criteria-rumination-syndrome,Rome IV Diagnostic Criteria for Rumination Syndrome,"David Cangemi, MD",Rome IV for Rumination Syndrome,Rumination syndrome diagnosis.,"['Gastroduodenal Disorders', 'Disorders of Gut-Brain Interaction (DGBI)']",Gastrointestinal,"Rome IV Criteria for Rumination Syndrome, Rome IV for Rumination Syndrome, rome for rumination syndrome, rumination, rumination syndrome, rome iv rumination syndrome, rome rumination syndrome, rome iv criteria, rome 4 rumination syndrome, rome 4 for rumination syndrome, rome 4 rumination, rome iv rumination",Diagnosis,"['Nausea', 'Vomiting']","['Family Practice', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care']",10292,"['Dr. Douglas Drossman', 'Dr. Lin Chang', 'The Rome Foundation']",True,
Official Rome IV criteria for the diagnosis of unspecified functional bowel disorder.,rome-iv-diagnostic-criteria-unspecified-functional-bowel-disorder,Rome IV Diagnostic Criteria for Unspecified Functional Bowel Disorder,"Colleen Parker, MD",Rome IV for Bowel Disorder,Unspecified bowel disorder diagnosis.,Disorders of Gut-Brain Interaction (DGBI),Gastrointestinal,"Bowel disorder, unspecified functional bowel disorder, Rome IV Criteria, Rome IV Criteria for Unspecified Functional Bowel Disorder, Rome IV for Unspecified Bowel Disorder, Rome IV Criteria for Unspecified Bowel Disorder, Rome IV for Unspecified Functional Bowel Disorder, rome 4, fbd",Diagnosis,"['Constipation', 'Diarrhea', 'Bloating']","['Family Practice', 'Gastroenterology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care']",10273,"['Dr. Douglas Drossman', 'Dr. Lin Chang', 'The Rome Foundation']",True,
Screens for hypoxia in dyspneic patients.,roth-score-hypoxia-screening,Roth Score for Hypoxia Screening,"Graham Walker, MD",Roth Score for Hypoxia Screening,Hypoxia screening.,"['Coronavirus', 'COVID-19', 'Respiratory Distress']",Respiratory,"Hypoxia, dyspnea, hypoxia screening, roth test, roth score, roth, phone screening, covid-19, covid, coronavirus, covid19, covid 19",Diagnosis,"['Dyspnea', 'Shortness of Breath']","['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine', 'Pulmonology']",10288,Dr. Ehud Chorin,True,
Predicts high-flow nasal cannula (HFNC) failure/need for intubation.,rox-index-intubation-hfnc,ROX Index for Intubation after HFNC,"Graham Walker, MD",ROX Index for Intubation,HFNC failure.,"['Coronary Artery Disease', 'Respiratory Distress', 'COVID-19']",Respiratory,"HFNC failure, ROX Index for Intubation after HFNC, ROX Index for Intubation, intubation, high-flow nasal cannula, hfnc, covid-19, covid19, covid, coronavirus, covid 19, rox index",Prognosis,"['Dyspnea', 'Shortness of Breath']","['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine', 'Pulmonology']",10302,Dr. Oriol Roca,True,
Distinguishes Lyme meningitis from aseptic meningitis.,rule-7s-lyme-meningitis,Rule of 7s for Lyme Meningitis,"Matthew Lecuyer, MD, MPH",Rule of 7s,Lyme meningitis diagnosis.,Meningitis,"['Neurologic', 'Infectious']","['lyme', 'rule of 7s', 'rule of seven', 'rule of sevens', 'rule of 7', 'lyme disease', 'lime disease']","['Rule Out', 'Diagnosis']","['Pain', 'Muscle Stiffness', 'Headache']","['Pediatrics', 'Pediatric Subspecialty', 'Internal Medicine', 'Infectious Disease', 'Family Practice', 'Emergency Medicine']",3988,Dr. Aris Garro,True,3988.1
Predicts overall survival with and without postoperative radiotherapy (PORT) for resected major salivary gland cancers.,salivary-gland-cancer-model-survival-postoperative-radiotherapy-port,Salivary Gland Cancer Model for Survival +/- Postoperative Radiotherapy (PORT),[],Salivary Gland Cancer PORT Survival,Salivary gland cancer PORT survival.,"['Cancer', 'Salivary Gland Cancer']","['Oncologic', 'Digestive']","Salivary Gland Cancer Postoperative Radiotherapy (PORT) Survival Score, Salivary Gland Cancer PORT Survival, salivary gland cancer, SG cancer, salivary gland cancer survival, sg port survival, salivary gland port survival, salivary gland cancer, salivary gland cancer radiotherapy, cancer radiotherapy",Prognosis,"['Mass', 'Swelling']","['Hematology and Oncology', 'Otolaryngology', 'Radiation Oncology']",10345,Dr. Corbin D. Jacobs,False,
"<span id=""docs-internal-guid-d6fc08dd-7fff-1253-f59b-7e653d04ae85"">Predicts risk for serious outcomes at 7 days in patients presenting with syncope or near-syncope.",san-francisco-syncope-rule,San Francisco Syncope Rule,"Cullen Clark, MD",San Francisco Syncope Rule,Syncope risk stratification.,"['Acute Coronary Syndrome', 'Arrhythmia']","['Cardiac', 'Neurologic']","['sf', 'pass out', 'stiell', 'Syncope', 'Near-syncope', 'Near syncope', 'SF', 'San Francisco', 'lightheadedness']","['Prognosis', 'Rule Out']",Syncope,"['Cardiology', 'Critical Care', 'Emergency Medicine', 'Family Practice', 'Hospitalist Medicine', 'Internal Medicine', 'Neurology', 'Primary Care']",93,"['Dr. Ian Stiell', 'Dr. James V. Quinn']",True,93.1
"<span id=""docs-internal-guid-51426a60-7fff-1044-4feb-dfab6ce3b8c7"">Predicts in-hospital survival in adult patients after VA ECMO for refractory cardiogenic shock.",save-survival-veno-arterial-ecmo-score,SAVE (Survival after Veno-Arterial ECMO) Score,"Christopher Tainter, MD, RDMS",SAVE Score for ECMO,Survival after VA ECMO for cardiogenic shock.,Myocardial Infarction,Cardiac,"['Ecmo', 'cardiac shock', 'refractory cardiogenic shock', 'cardiogenic shock', 'mortality', 'risk', 'ECMO survival', 'VA ECMO', 'VA', 'extracorporeal']",Prognosis,"['Chest Pain', 'Shortness of Breath', 'Dizziness']","['Cardiology', 'Surgery (Cardiothoracic)', 'Hospitalist Medicine', 'Internal Medicine', 'Critical Care', 'Emergency Medicine']",10144,Dr. Matthieu Schmidt,True,
Grades functional status in patients with Parkinson’s disease.,schwab-england-activities-daily-living-adl-scale,Schwab and England Activities of Daily Living (ADL) Scale,[],Schwab and England ADL Scale,Parkinson's disease disability.,Parkinson's Disease,Neurologic,"['schwab', 'england', 'shwab', 'schwab and england', 'parkingson', 'parkinsons']",Prognosis,"['Anxious', 'Depressed', 'Muscle Stiffness', 'Pain']",Neurology,3977,Dr. Robert S. Schwab,False,
Quantifies likelihood of underlying vascular etiology in patients with ICH.,secondary-intracerebral-hemorrhage-sich-score,Secondary Intracerebral Hemorrhage (sICH) Score,"Benjamin Kummer, MD",sICH Score,Likelihood of vascular cause of ICH.,Stroke/TIA,Neurologic,"['SICH', 'vascular etiology', 'TIA', 'stroke', 'cva', 'brain', 'bleed', 'secondary', 'ich', 'intracranial', 'bleed', 'angiography', 'CTA', 'headache']","['Diagnosis', 'Prognosis']","['AMS', 'Headache', 'Weakness']","['Critical Care (Neurologic)', 'Emergency Medicine', 'Neurology']",3802,Dr. Josser Delgado Almandoz,True,
Predicts risk of Symptomatic Intracerebral Hemorrhage (sICH) after tPA.,sedan-score-post-tpa-hemorrhage,SEDAN Score for Post-tPA Hemorrhage,"Graham Walker, MD",SEDAN Score,Predicts sICH risk after tPA.,Stroke/TIA,Neurologic,"['SEDAN', 'Stroke', 'CT scan', 'blood sugar', 'glucose', 'hyperdense', 'age', 'NIHSS', 'tpa']",Prognosis,Weakness,"['Critical Care', 'Critical Care (Neurologic)', 'Emergency Medicine', 'Neurology']",2039,Dr. Daniel Strbian,True,2039.1
Predicts likelihood of sepsis-induced coagulopathy.,sepsis-induced-coagulopathy-sic-score,Sepsis-Induced Coagulopathy (SIC) Score,"Graham Walker, MD",Sepsis-Induced Coagulopathy (SIC) Score,Likelihood of sepsis-induced coagulopathy.,"['Sepsis', 'COVID-19', 'Coronavirus']",Hematologic,"Sic, sic score, Sepsis-Induced Coagulopathy (SIC) Score, coagulopathy, sepsis, covid19, covid, coronavirus, covid-19, covid 19",Prognosis,Bleeding,"['Critical Care', 'Emergency Medicine', 'Hematology and Oncology', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine']",10301,Dr. Toshiaki Iba,True,
Predicts ICU mortality based on lab results and clinical data.,sequential-organ-failure-assessment-sofa-score,Sequential Organ Failure Assessment (SOFA) Score,"Kamal Medlej, MD",SOFA Score,ICU mortality from lab data.,"['Renal Failure', 'Sepsis', 'COVID-19', 'Coronavirus']","['Cardiac', 'Gastrointestinal', 'Renal']","['icu', 'critical care', 'sequential organ failure', 'organ failure', 'sofa score', 'covid', 'covid19', 'covid-19', 'covid 19', 'coronavirus']","['Diagnosis', 'Prognosis']","['AMS', 'Fever', 'Weakness']","['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine']",691,Dr. Jean-Louis Vincent,True,691.1
Defines presence of portal hypertension in patients with ascites.,serum-ascites-albumin-gradient-saag,Serum Ascites Albumin Gradient (SAAG),[],Serum Ascites Albumin Gradient,Defines presence of portal hypertension in patients with ascites.,"['Cirrhosis', 'Ascites']",Gastrointestinal,"['SAAG', 'albumin', 'ascites', 'portal hypertension']",Formula,"['Abdominal Pain', 'Jaundice']","['Gastroenterology', 'Hepatology', 'Internal Medicine']",3096,Dr. John Carl Hoefs,False,
"Calculates expected serum osmolarity, for comparison to measured osmolarity to detect unmeasured compounds in the serum.",serum-osmolality-osmolarity,Serum Osmolality/Osmolarity,[],Serum Osmolality,Screens for toxic alcohols & more.,"['Acid-Base Disturbance', 'Ingestion/Overdose']","['Endocrine and Metabolic', 'Renal']","['toxicology', 'gap', 'anion gap', 'ag', 'osmolar gap']",Formula,"['AMS', 'Intoxication/Overdose', 'Vomiting', 'Weakness']","['Critical Care', 'Emergency Medicine', 'Endocrinology', 'Hospitalist Medicine', 'Internal Medicine', 'Nephrology', 'Toxicology']",91,Dr. Roy Purssell,False,
Predicts risk of adverse outcomes in CAP patients in the ED.,severe-community-acquired-pneumonia-scap-score,Severe Community-Acquired Pneumonia (SCAP) Score,"['Joseph Habboushe, MD, MBA', 'Eric Steinberg, DO']",SCAP Score,Severe community-acquired pneumonia risk.,"['Pneumonia', 'Respiratory Distress', 'COVID-19', 'Coronavirus']",Respiratory,"Severe Community-Acquired Pneumonia (SCAP) Score, SCAP score,Severe Community-Acquired Pneumonia Score, community acquired pneumonia, community-acquired pneumonia, SCAP diagnosis, CAP, severe pneumonia, severe pneumonia diagnosis, pneumonia score, severe pneumonia score, pneumonia severity, scap, coronaivirus, corona virus, covid-19, covid 19, covid19",Diagnosis,"['Chest Pain', 'Cough', 'Fever', 'Shortness of Breath']","['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine', 'Pulmonology']",10280,Dr. Pedro P. España,True,
Criteria to diagnose acute MI in patients with prior LBBB.,sgarbossas-criteria-mi-left-bundle-branch-block,Sgarbossa's Criteria for MI in Left Bundle Branch Block,[],Sgarbossa's Criteria for MI,Diagnoses acute MI in LBBB.,Myocardial Infarction,Cardiac,"['lbbb', 'ekg', 'stemi']",Diagnosis,"['Chest Pain', 'Shortness of Breath', 'Weakness']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine']",1732,Dr. Elena Sgarbossa,False,
"May be a more sensitive indicator of occult shock, especially in trauma or acute hemorrhage.",shock-index,Shock Index,"Kamal Medlej, MD",Shock Index,Sensitive indicator of occult shock.,"['Anemia', 'Bleeding/Hemorrhage', 'Trauma']",Cardiac,"['trauma', 'hemorrhage', 'occult']",Diagnosis,"['Bleeding', 'Injury/Trauma']","['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine', 'Surgery (General)', 'Surgery (Trauma)']",1316,Dr. Manuel Mutschler,True,1316.1
"<span id=""docs-internal-guid-b41eb2c7-d790-fe45-f5d2-4914b4cc307b"">Predicts mortality in children with blunt trauma.",shock-index-pediatric-age-adjusted-sipa,"Shock Index, Pediatric Age-Adjusted (SIPA)","Christian Hietanen, DO","Shock Index, Pediatric Age-Adjusted (SIPA)",Shock in children.,"['Anemia', 'Bleeding/Hemorrhage', 'Trauma']",Cardiac,"['Shock index', 'SI', 'SIPA', 'pediatric shock index', 'age adjusted shock index', 'trauma', 'mortality', 'hemorrhage', 'pediatric adjusted']","['Diagnosis', 'Prognosis']","['Bleeding', 'Injury/Trauma']","['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine', 'Surgery (General)', 'Surgery (Trauma)']",10058,Dr. Shannon N. Acker,True,10058.1
Identifies pneumonia patients at low risk for MRSA. ,shorr-score-mrsa-pneumonia,Shorr Score for MRSA Pneumonia,"Elias Wan, MD",Shorr Score,Rules out MRSA pneumonia.,"['Pneumonia', 'Respiratory Distress', 'COVID-19', 'Coronavirus']","['Infectious', 'Respiratory']","['Shorr score', 'shor score', 'shorr', 'penumonia', 'chest infection', 'CAP', 'HCAP', 'pna', 'icu', 'severity', 'covid-19', 'coronavirus', 'covid 19', 'covid19']",Prognosis,"['Cough', 'Dyspnea', 'Shortness of Breath']","['Critical Care', 'Geriatrics', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine', 'Pulmonology']",3962,Dr. Andrew Shorr,True,3962.1
Shorter version of MFIS which measures the impact fatigue takes on a patient's daily life.,shortened-modified-fatigue-impact-scale-mfis,Shortened Modified Fatigue Impact Scale (MFIS),[],Shortened Modified Fatigue Impact Scale,Daily fatigue impact.,Multiple Sclerosis,Neurologic,"['mfis', 'ms', 'multiple sclerosis', 'daily life', 'function', 'short mfis']",Prognosis,Weakness,"['Geriatrics', 'Internal Medicine', 'Neurology', 'Neurosurgery']",2197,Dr. John Fisk,False,
Estimates the volume of donor RBCs needed for RBC exchange in patients with sickle cell disease.,sickle-cell-rbc-exchange-volume,Sickle Cell RBC Exchange Volume,"['Alex Ryder, MD, PhD', 'Caleb Cheng, MD', 'Christopher Tormey, MD']",Sickle Cell RBC Exchange Volume,Donor RBC volume for exchange.,"['Anemia', 'Sickle Cell Disease']",Hematologic,"['rbc', 'exchange', 'replacement', 'blood volume', 'sickle cell', 'transfusion']",Formula,Bleeding,"['Critical Care', 'Hematology and Oncology', 'Hospitalist Medicine', 'Internal Medicine', 'Pathology', 'Surgery (Trauma)', 'Transfusion Medicine']",4066,[],True,4066.1
"Diagnoses familial hypercholesterolemia (FH) based on clinical, genetic and family history.",simon-broome-diagnostic-criteria-familial-hypercholesterolemia-fh,Simon Broome Diagnostic Criteria for Familial Hypercholesterolemia (FH),[],Simon Broome Diagnostic Criteria,Diagnoses familial hypercholesterolemia (FH).,Dyslipidemia,Endocrine and Metabolic,"['FH', 'HeFH', 'gene', 'dna', 'xanthomas', 'high cholesterol', 'hypercholesterolemia', 'familial']",Diagnosis,"['Chest Pain', 'Mass']","['Endocrinology', 'Family Practice', 'Internal Medicine']",3817,Dr. John Betteridge,False,
Determines severity of rheumatoid arthritis using clinical and laboratory data.,simple-disease-activity-index-sdai-rheumatoid-arthritis,Simple Disease Activity Index (SDAI) for Rheumatoid Arthritis,[],SDAI for Rheumatoid Arthritis,"RA Severity, clinical data only.",Rheumatoid Arthritis,"['Rheumatologic', 'Musculoskeletal']","['RA', 'rheum', 'rheumatoid arthritis', 'simple', 'clinical', 'lab', 'crp']",Prognosis,Joint Pain,"['Rheumatology', 'Orthopedics']",2194,Dr. Josef Smolen,False,
Estimates the probability of mortality for ICU patients on admission.,simplified-acute-physiology-score-saps-3,Simplified Acute Physiology Score (SAPS) 3,[],SAPS 3,ICU mortality.,"['Cancer', 'Cirrhosis', 'HIV/AIDS']",Any/All,"['Simplified Acute Physiology Score (SAPS) III', 'SAPS', 'SAPS III', 'Simplified Acute Physiology Score III', 'SAPS 3', 'mortality risk', 'saps ii', 'icu mortality', 'icu', 'acute physiology']",Prognosis,"['Fever', 'Injury/Trauma']","['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine', 'Surgery (General)']",10403,Dr. Rui P. Moreno,False,
"Estimates mortality in ICU patients, comparable to APACHE II.",simplified-acute-physiology-score-saps-ii,Simplified Acute Physiology Score (SAPS) II,[],SAPS II,ICU mortality.,Any/All,Any/All,"['SAPS', 'SAPS II', 'Simplified Acute Physiology Score II', 'ICU', 'critical care', 'sapsii', 'saps 2', 'mortality risk']",Prognosis,Any/All,"['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine', 'Surgery (General)']",4044,Dr. Jean-Roger Le Gall,False,
Diagnoses autoimmune hepatitis.,simplified-autoimmune-hepatitis-aih-score,Simplified Autoimmune Hepatitis (AIH) Score,[],Simplified AIH Score,AIH diagnosis.,"['Autoimmune Disorders', 'Hepatitis']","['Gastrointestinal', 'Immunologic']","['AIH', 'hepatitis', 'simple', 'diagnosis', 'liver injury', 'AIH Score']","['Diagnosis', 'Rule Out']","['Abdominal Pain', 'Jaundice']","['Gastroenterology', 'Hepatology', 'Internal Medicine', 'Rheumatology']",3112,Dr. Ansgar W. Lohse,False,
Simplifies assessment of head trauma patients compared to the <calculator id='64'>GCS</calculator>.,simplified-motor-score-sms,Simplified Motor Score (SMS),"Daniel Runde, MD",Simplified Motor Score,Simplified GCS for head trauma.,Trauma,Neurologic,"['gcs', 'head injury', 'trauma']","['Diagnosis', 'Prognosis']","['AMS', 'Headache', 'Injury/Trauma']","['Anesthesiology', 'Critical Care', 'Hospitalist Medicine', 'Neurology', 'Surgery (General)', 'Surgery (Trauma)']",1832,Dr. Steven Green,True,
"Predicts 30-day outcome of patients with PE, with fewer criteria than the original PESI.",simplified-pesi-pulmonary-embolism-severity-index,Simplified PESI (Pulmonary Embolism Severity Index),"Benjamin Slovis, MD",Simplified PESI,Mortality from PE.,Pulmonary Embolism,"['Cardiac', 'Hematologic', 'Respiratory']","['PE', 'pulmonary embolism', 'DVT', 'spesi']",Prognosis,"['Chest Pain', 'Cough', 'Palpitations', 'Shortness of Breath']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Hematology and Oncology', 'Hospitalist Medicine', 'Internal Medicine', 'Pulmonology']",1247,Dr. David Jiménez,True,1247.1
Defines the severity of sepsis and septic shock.,sirs-sepsis-septic-shock-criteria,"SIRS, Sepsis, and Septic Shock Criteria","Kamal Medlej, MD",SIRS & Sepsis Criteria,Defines severity of sepsis and septic shock.,"['Sepsis', 'COVID-19', 'Coronavirus']","['Cardiac', 'Infectious']","['Systemic inflammatory response syndrome', 'sirs', 'sepsis', 'coronavirus', 'covid-19', 'covid 19', 'covid19', 'covid']",Diagnosis,Fever,"['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine']",1096,Dr. Robert A. Balk,True,
Provides criteria for diagnosis of SLE.,slicc-criteria-systemic-lupus-erythematosus-sle-2012,SLICC Criteria for Systemic Lupus Erythematosus (SLE) 2012,[],SLICC Criteria for Lupus 2012,Systemic lupus erythematosus diagnosis.,Autoimmune Disorders,"['Hematologic', 'Immunologic', 'Rheumatologic']","['Systemic Lupus', 'lupus', 'SLE', 'lupus criteria', '2012 slicc', 'slicc 2012', 'slicc', 'systemic lupus erythematosus']",Diagnosis,"['Any/All', 'Rash', 'Seizure', 'Hematuria', 'Fever', 'Headache']","['Allergy and Immunology', 'Emergency Medicine', 'Family Practice', 'Internal Medicine', 'Primary Care', 'Rheumatology', 'Hospitalist Medicine']",10034,Dr. Michelle A. Petri,False,
